HoofdstukRomeins,Hoofdstuknaam,Realisatie
A,Infrastructuurfonds,193015015
A,Mobiliteitsfonds,27804030
B,Gemeentefonds,704133450
C,Provinciefonds,53263104
F,Diergezondheidsfonds,1920693
H,BES-fonds,1179078
I,De Koning,984949
IIA,Staten-Generaal,3868681
IIB,Overige Hoge Colleges van Staat en Kabinetten,1188735
IIB,"Overige Hoge Colleges van Staat, Kabinetten en de ...",76
IIB,"Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad",1865541
III,Algemene Zaken,1614168
IV,Koninkrijksrelaties,9128972
IX,Financiën,258370251
IX,Financiën en Nationale Schuld,0
IX,Nationale Schuld (Transactiebasis),186513154
IXA,Nationale Schuld (Transactiebasis),1582287416
IXB,Financien,79226107
IXB,Financiën,157047167
J,Deltafonds,42130018
K,Defensiematerieelbegrotingsfonds,52582750
L,Nationaal Groeifonds,38880
M,Klimaatfonds,0
V,Buitenlandse Zaken,245781502
VI,Justitie en Veiligheid,233944902
VI,Veiligheid en Justitie,102963017
VII,Binnenlandse Zaken en Koninkrijksrelaties,106525457
VIII,"Onderwijs, Cultuur en Wetenschap",870314411
X,Defensie,235642513
XI,"Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer",0
XII,Infrastructuur en Milieu,103352737
XII,Infrastructuur en Waterstaat,108727069
XIII,Economische Zaken,151012725
XIII,Economische Zaken en Klimaat,223234627
XIV,"Landbouw, Natuur en Voedselkwaliteit",22030712
XIV,"Landbouw, Visserij, Voedselzekerheid en Natuur",0
XIX,Nationaal Groeifonds,0
XV,Sociale Zaken en Werkgelegenheid,905050361
XVI,"Volksgezondheid, Welzijn en Sport",535377526
XVII,Buitenlandse Handel & Ontwikkelingssamenwerking,33971960
XVII,Buitenlandse Handel en Ontwikkelingshulp,0
XVII,Buitenlandse Handel en Ontwikkelingssamenwerking,38262416
XVIII,Wonen & Rijksdienst,43322014
XX,Asiel en Migratie,0
XXII,Volkshuisvesting en Ruimtelijke Ordening,0
XXIII,Klimaat en Groene Groei,0
